,Predictions
2022-04-11,2476.5554748535155
2022-04-12,3851.2519409179686
2022-04-13,2927.7724462890624
2022-04-14,2918.271245279948
2022-04-15,2862.175740234375
2022-04-16,2350.8595874023435
2022-04-17,2359.7701943359375
2022-04-18,2758.6150852050782
2022-04-19,2428.7849873046875
2022-04-20,2773.624421875
2022-04-21,3400.431670410156
2022-04-22,4289.045494140625
2022-04-23,3915.3563002929686
2022-04-24,2784.203334472656
2022-04-25,3227.6132416992186
2022-04-26,2417.166943847656
2022-04-27,2711.2733833007815
2022-04-28,2741.371618408203
2022-04-29,3698.9196044921873
2022-04-30,2988.357966796875
2022-05-01,2281.330828613281
2022-05-02,2883.526885172526
2022-05-03,2638.9984741210938
2022-05-04,2510.1421884765623
2022-05-05,2737.1283515625
2022-05-06,4203.280935546875
2022-05-07,2751.8678552246092
2022-05-08,4396.944206054687
2022-05-09,2805.453946044922
2022-05-10,2789.559775390625
2022-05-11,2668.757946777344
2022-05-12,2733.6972841796874
2022-05-13,2923.4691095377602
2022-05-14,2355.84523046875
2022-05-15,3741.784764160156
2022-05-16,4001.5179033203126
2022-05-17,3036.4236484375
2022-05-18,2293.223314453125
2022-05-19,3497.974751953125
2022-05-20,2723.480330240886
2022-05-21,3326.93871484375
2022-05-22,3844.0159350585936
2022-05-23,2854.624059082031
2022-05-24,2745.7919279785156
2022-05-25,2875.690581298828
2022-05-26,3132.5777802734374
2022-05-27,3790.623961425781
2022-05-28,2573.892219238281
2022-05-29,2396.2198564453124
2022-05-30,2553.886455078125
2022-05-31,2834.7833688964843
2022-06-01,2604.216591796875
2022-06-02,4421.57055078125
2022-06-03,3665.598398925781
2022-06-04,2514.4142612304686
2022-06-05,3461.553952636719
2022-06-06,2426.84830859375
2022-06-07,3117.8582900390625
2022-06-08,2365.8662590332033
2022-06-09,2824.619310058594
2022-06-10,2653.9757978515627
2022-06-11,3424.615169921875
2022-06-12,2862.4599189453124
2022-06-13,2881.2705627441405
2022-06-14,4197.312138183594
2022-06-15,3232.3783403320313
2022-06-16,3088.9705112304687
2022-06-17,3279.920934082031
2022-06-18,2992.3781274414064
2022-06-19,2651.8476149902344
2022-06-20,2389.7779560546874
2022-06-21,3361.362056152344
2022-06-22,3035.9797885742187
2022-06-23,3387.927126953125
2022-06-24,4221.395463867188
2022-06-25,3908.7655512695314
2022-06-26,2771.408808837891
2022-06-27,2473.196078857422
2022-06-28,2926.793599283854
2022-06-29,3842.859873046875
2022-06-30,2715.212154785156
2022-07-01,2900.131134928385
2022-07-02,2714.0491611328125
2022-07-03,2804.0481701660156
2022-07-04,2686.6985668945313
2022-07-05,2841.2788251953125
2022-07-06,2807.971490966797
2022-07-07,2911.649801269531
2022-07-08,2871.8099963378904
2022-07-09,4298.7787255859375
2022-07-10,2437.6274545898436
2022-07-11,3049.875197265625
2022-07-12,3347.8599829101563
2022-07-13,3482.2314926757813
2022-07-14,3918.5330419921875
2022-07-15,2954.727825683594
2022-07-16,3094.6029912109375
2022-07-17,3386.75384765625
2022-07-18,4350.902079101563
2022-07-19,3928.170439941406
2022-07-20,3168.5151381835935
2022-07-21,2783.581873779297
2022-07-22,2397.0918745117187
2022-07-23,2729.9586733398437
2022-07-24,3286.383277832031
2022-07-25,3792.673944824219
2022-07-26,2556.72727734375
2022-07-27,2605.7654755859376
2022-07-28,2493.9219201660158
2022-07-29,4473.794240234375
2022-07-30,4416.784814453125
2022-07-31,2899.2558647460937
2022-08-01,2821.229696533203
2022-08-02,2932.2414296875
2022-08-03,4203.861277832031
2022-08-04,2493.6551396484374
2022-08-05,3929.5156235351565
2022-08-06,2387.801337890625
2022-08-07,2840.4452431640625
2022-08-08,2385.9029453125
2022-08-09,2677.114037597656
2022-08-10,3702.206605957031
2022-08-11,3012.9430009765624
2022-08-12,3268.5899033203127
2022-08-13,2908.7063564453124
2022-08-14,3702.3686850585937
2022-08-15,2923.9697999674477
2022-08-16,2632.8276081542967
2022-08-17,2898.385041259766
2022-08-18,2921.7509786783853
2022-08-19,2902.163174316406
2022-08-20,2436.098544433594
2022-08-21,3581.914170410156
2022-08-22,2725.6649553222655
2022-08-23,2888.1711107584633
2022-08-24,2620.1358193359374
